id_route,type_route,distance,id_noeud1,id_noeud2
18290,b'D\xe9partementale',2.6,15256,15292
18291,b'D\xe9partementale',8.4,15256,15579
18292,b'D\xe9partementale',0.1,15257,15261
18293,b'D\xe9partementale',16.5,15257,15508
18297,b'D\xe9partementale',6.8,15261,15376
18298,b'D\xe9partementale',8.0,15261,15610
18301,b'D\xe9partementale',13.7,15264,15619
18302,b'D\xe9partementale',20.3,15264,15947
18306,b'D\xe9partementale',1.1,15268,15280
18307,b'D\xe9partementale',1.7,15268,15367
18308,b'D\xe9partementale',3.6999999999999997,15269,15434
18309,b'D\xe9partementale',10.899999999999999,15270,15435
18310,b'D\xe9partementale',2.4,15270,15408
18318,b'D\xe9partementale',0.3,15278,15285
18319,Autoroute,21.799999999999997,15278,15717
18321,b'D\xe9partementale',1.0,15280,15337
18326,b'D\xe9partementale',11.0,15285,15653
18328,b'D\xe9partementale',4.6000000000000005,15287,15344
18329,Autoroute,24.0,15287,15989
18335,b'D\xe9partementale',3.1,15292,15343
18336,Autoroute,10.8,15292,15733
18339,Sans objet,1.8,15297,15353
18340,Nationale,0.4,15297,15319
18341,b'D\xe9partementale',14.0,15298,15447
18343,b'D\xe9partementale',13.5,15437,15326
18347,b'D\xe9partementale',1.4,15303,15331
18348,b'D\xe9partementale',1.0,15303,15356
18350,b'D\xe9partementale',13.1,15305,15429
18354,Nationale,11.0,15309,15713
18355,b'D\xe9partementale',26.6,15309,16189
18356,Sans objet,4.6,15310,15368
18357,b'D\xe9partementale',9.2,15310,15445
18359,b'D\xe9partementale',1.3,15312,15346
18361,b'D\xe9partementale',22.900000000000002,15314,16097
18366,Nationale,0.4,15319,15328
18367,b'D\xe9partementale',1.2,15319,15357
18373,b'D\xe9partementale',0.8,15346,15333
18376,b'D\xe9partementale',10.299999999999999,15326,15472
18379,Nationale,0.2,15328,15333
18380,b'D\xe9partementale',0.6,15328,15357
18383,b'D\xe9partementale',1.4,15331,15378
18385,Nationale,0.6,15333,15362
18386,b'D\xe9partementale',27.9,15334,16097
18388,b'D\xe9partementale',0.9,15337,15358
18389,b'D\xe9partementale',1.0,15337,15367
18393,b'D\xe9partementale',0.4,15341,15361
18394,b'D\xe9partementale',10.6,15342,15801
18395,b'D\xe9partementale',21.2,15342,16129
18396,b'D\xe9partementale',6.2,15343,15374
18397,b'D\xe9partementale',10.4,15343,15754
18398,Nationale,0.2,15344,15353
18399,b'D\xe9partementale',0.4,15344,15360
18401,Sans objet,0.5,15346,15362
18402,b'D\xe9partementale',21.400000000000002,15346,15632
18403,b'D\xe9partementale',21.8,15347,15669
18405,b'D\xe9partementale',0.1,15348,15356
18406,b'D\xe9partementale',1.0,15348,15391
18411,Nationale,0.4,15353,15360
18414,b'D\xe9partementale',0.5,15356,15378
18415,Sans objet,0.7,15357,15362
18416,b'D\xe9partementale',8.6,15357,15666
18417,b'D\xe9partementale',1.8,15358,15392
18418,b'D\xe9partementale',0.7,15358,15399
18419,b'D\xe9partementale',9.0,15359,15685
18420,b'D\xe9partementale',11.899999999999999,15359,15845
18421,b'D\xe9partementale',8.200000000000001,15360,15666
18422,b'D\xe9partementale',24.3,15361,16113
18423,b'D\xe9partementale',21.9,15361,16316
18424,Nationale,0.9,15362,15407
18430,Sans objet,1.9,15367,15399
18431,b'D\xe9partementale',15.4,15367,15801
18433,Nationale,1.8,15368,15417
18437,b'D\xe9partementale',12.100000000000001,15374,15587
18438,b'D\xe9partementale',12.6,15374,15908
18442,b'D\xe9partementale',10.399999999999999,15378,15683
18448,b'D\xe9partementale',2.5,15386,15451
18449,b'D\xe9partementale',4.1,15386,15514
18453,b'D\xe9partementale',4.1,15391,15416
18454,b'D\xe9partementale',4.7,15391,15572
18455,Sans objet,1.8,15392,15399
18456,b'D\xe9partementale',6.3,15392,15481
18457,Nationale,11.5,15393,15544
18458,b'D\xe9partementale',18.799999999999997,15393,16204
18460,b'D\xe9partementale',2.5,15395,15477
18461,b'D\xe9partementale',5.5,15396,15452
18462,Sans objet,4.9,15396,15452
18466,b'D\xe9partementale',16.2,15399,16103
18473,Nationale,10.7,15407,15858
18474,b'D\xe9partementale',18.8,15407,15904
18475,b'D\xe9partementale',2.0,15408,15455
18476,b'D\xe9partementale',4.2,15408,15566
18484,b'D\xe9partementale',19.0,15416,15618
18485,b'D\xe9partementale',5.4,15416,15572
18486,Nationale,16.8,15417,15886
18487,b'D\xe9partementale',10.9,15417,15885
18495,b'D\xe9partementale',9.5,15425,15809
18498,b'D\xe9partementale',0.7,15428,15447
18499,b'D\xe9partementale',0.3,15429,15437
18504,b'D\xe9partementale',8.4,15434,15757
18505,b'D\xe9partementale',6.3,15435,15490
18506,b'D\xe9partementale',7.6000000000000005,15435,15734
18508,b'D\xe9partementale',13.899999999999999,15437,15713
18509,b'D\xe9partementale',20.4,15437,16272
18511,b'D\xe9partementale',27.200000000000003,15657,15481
18515,Sans objet,0.3,15442,15451
18518,b'D\xe9partementale',4.0,15445,15531
18520,b'D\xe9partementale',0.2,15447,15454
18524,Sans objet,1.2,15451,15483
18525,b'D\xe9partementale',5.7,15452,15477
18527,b'D\xe9partementale',0.2,15454,15461
18528,b'D\xe9partementale',22.9,15454,15921
18529,b'D\xe9partementale',8.5,15455,15740
18530,Autoroute,13.1,15455,16053
18536,b'D\xe9partementale',14.3,15461,15947
18537,b'D\xe9partementale',14.2,15461,16131
18548,b'D\xe9partementale',1.3,15472,15515
18554,b'D\xe9partementale',1.7,15477,15540
18557,b'D\xe9partementale',16.2,15481,15970
18559,b'D\xe9partementale',3.0,15483,15594
18560,b'D\xe9partementale',1.4,15483,15511
18565,b'D\xe9partementale',0.0,15488,15489
18566,b'D\xe9partementale',3.2,15488,15574
18567,b'D\xe9partementale',14.9,15489,16117
18568,b'D\xe9partementale',6.7,15490,15711
18573,b'D\xe9partementale',4.8,15495,15598
18574,b'D\xe9partementale',14.2,15495,15516
18577,Nationale,10.2,15660,15508
18582,b'D\xe9partementale',15.4,15502,16243
18584,b'D\xe9partementale',4.0,15504,15625
18585,b'D\xe9partementale',4.7,15504,15699
18589,Nationale,17.4,15508,15827
18592,b'D\xe9partementale',1.7,15511,15514
18593,Sans objet,1.5,15511,15564
18596,b'D\xe9partementale',1.1,15514,15564
18597,b'D\xe9partementale',16.5,15514,15655
18598,b'D\xe9partementale',20.099999999999998,15515,16355
18599,b'D\xe9partementale',12.7,15515,15775
18602,Sans objet,2.4,15518,15541
18609,b'D\xe9partementale',11.2,15525,15573
18610,b'D\xe9partementale',5.2,15525,15702
18613,b'D\xe9partementale',5.8,15612,15552
18617,b'D\xe9partementale',0.3,15532,15546
18618,Nationale,2.9,15532,15549
18619,Nationale,2.6,15532,15660
18626,b'D\xe9partementale',18.1,15710,15668
18628,b'D\xe9partementale',12.1,15540,15849
18629,b'D\xe9partementale',1.7,15540,15617
18633,Nationale,0.7,15544,15558
18634,b'D\xe9partementale',18.6,15544,16204
18636,b'D\xe9partementale',1.0,15546,15585
18637,Sans objet,2.2,15546,15589
18638,Sans objet,2.4,15546,15642
18641,b'D\xe9partementale',1.2,15549,15590
18644,b'D\xe9partementale',3.0,15552,15665
18650,Nationale,0.3,15558,15561
18653,b'D\xe9partementale',19.2,15561,16287
18654,Nationale,16.8,15561,15760
18657,b'D\xe9partementale',3.2,15564,15700
18659,b'D\xe9partementale',9.6,15566,16031
18665,b'D\xe9partementale',11.4,15572,15933
18666,b'D\xe9partementale',8.7,15572,15978
18671,Sans objet,1.2,15579,15640
18672,b'D\xe9partementale',3.9,15579,15706
18678,b'D\xe9partementale',1.1,15585,15589
18679,b'D\xe9partementale',1.0,15585,15628
18681,Sans objet,2.6,15588,15683
18682,Autoroute,17.1,15588,16147
18683,b'D\xe9partementale',0.2,15589,15590
18684,Nationale,24.2,15590,15976
18687,b'D\xe9partementale',1.3,15593,15598
18688,b'D\xe9partementale',10.2,15593,15684
18689,b'D\xe9partementale',1.9,15593,15673
18690,Sans objet,1.2999999999999998,15594,15612
18691,b'D\xe9partementale',1.7,15594,15646
18696,b'D\xe9partementale',1.6,15598,15648
