id_noeud,lat,lon,id_station,lat_station,lon_station,distance_station,type_station,number_route,path1,path2
21781,943628.0,6571336.0,0,0,0,0,,1,26208,0
21785,585119.0,6571178.0,0,0,0,0,,3,26207,26213
21787,370999.0,6571084.0,0,0,0,0,,3,26025,26131
21796,950577.0,6570895.0,0,0,0,0,,4,26129,26225
21799,949338.0,6570846.0,0,0,0,0,,4,26218,26225
21802,376220.0,6570822.0,0,0,0,0,,3,26179,26233
21804,870767.0,6570707.0,0,0,0,0,,3,26184,26236
21811,379599.0,6570444.0,0,0,0,0,,3,26198,26233
21816,551935.0,6570376.0,0,0,0,0,,3,25607,26101
21819,432070.0,6570343.0,0,0,0,0,,4,26209,26211
21820,871722.0,6570179.0,0,0,0,0,,3,26236,26246
21824,872420.0,6570023.0,0,0,0,0,,4,26204,26253
21825,558716.0,6569989.0,0,0,0,0,,3,25809,26258
21826,949140.0,6569983.0,0,0,0,0,,3,26230,26260
21827,948006.0,6569978.0,0,0,0,0,,3,26208,26262
21828,551936.0,6569956.0,0,0,0,0,,4,26099,26248
21829,598647.0,6569930.0,0,0,0,0,,4,25864,26214
21830,373819.0,6569867.0,0,0,0,0,,1,26234,0
21831,948610.0,6569858.0,0,0,0,0,,3,26262,26267
21833,689265.0,6569811.0,0,0,0,0,,3,25846,26147
21839,949063.0,6569699.0,0,0,0,0,,4,26267,26273
21842,949067.0,6569619.0,0,0,0,0,,3,26276,26280
21844,650440.0,6569543.0,0,0,0,0,,1,26203,0
21846,872915.0,6569529.0,0,0,0,0,,3,26256,26284
21848,871055.0,6569390.0,0,0,0,0,,3,26237,26287
21850,870805.0,6569342.0,0,0,0,0,,3,26287,26290
21853,950175.0,6569281.0,0,0,0,0,,4,26227,26249
21854,871523.0,6569176.0,0,0,0,0,,3,26257,26288
21856,869449.0,6569119.0,0,0,0,0,,4,26290,26292
21857,752368.0,6569098.0,0,0,0,0,,5,26173,26175
21858,955307.0,6569075.0,0,0,0,0,,4,26226,26286
21863,983288.0,6568954.0,0,0,0,0,,3,26182,26307
21864,760680.0,6568916.0,0,0,0,0,,3,26299,26309
21865,937999.0,6568856.0,0,0,0,0,,1,26311,0
21866,870910.0,6568792.0,0,0,0,0,,4,26291,26295
21870,875025.0,6568667.0,0,0,0,0,,3,26205,26284
21871,872508.0,6568658.0,0,0,0,0,,3,26285,26312
21872,753792.0,6568596.0,0,0,0,0,,3,26300,26309
21873,575909.0,6568569.0,0,0,0,0,,3,26213,26274
21877,947554.0,6568478.0,0,0,0,0,,3,26280,26306
21880,575280.0,6568378.0,0,0,0,0,,4,26010,26320
21882,575068.0,6568320.0,0,0,0,0,,3,26327,26330
21888,940687.0,6568073.0,0,0,0,0,,1,26338,0
21889,958651.0,6568058.0,0,0,0,0,,3,25464,26301
21897,911483.0,6567784.0,0,0,0,0,,3,25994,26347
21898,381995.0,6567772.0,0,0,0,0,,3,26243,26349
21901,803377.0,6567675.0,0,0,0,0,,3,25968,26353
21905,510446.0,6567558.0,0,0,0,0,,3,25946,26190
21906,896710.0,6567553.0,0,0,0,0,,3,26332,26333
21907,982062.0,6567546.0,0,0,0,0,,3,26307,26308
